,model,male_dist,split,architecture
2288,2288.pth,0.25,0,a7
2289,2289.pth,0.71,0,a7
2290,2290.pth,0.1,0,a7
2291,2291.pth,0.87,0,a7
2292,2292.pth,0.55,0,a7
2293,2293.pth,0.82,0,a7
2294,2294.pth,0.35,0,a7
2295,2295.pth,0.87,0,a7
2296,2296.pth,0.09,0,a7
2297,2297.pth,0.89,0,a7
2298,2298.pth,0.39,0,a7
2299,2299.pth,0.72,0,a7
2300,2300.pth,0.51,0,a7
2301,2301.pth,0.9,0,a7
2302,2302.pth,0.2,0,a7
2303,2303.pth,0.71,0,a7
2304,2304.pth,0.39,0,a7
2305,2305.pth,0.99,0,a7
2306,2306.pth,0.12,0,a7
2307,2307.pth,0.91,0,a7
2308,2308.pth,0.27,0,a7
2309,2309.pth,1.0,0,a7
2310,2310.pth,0.49,0,a7
2311,2311.pth,0.86,0,a7
2312,2312.pth,0.44,0,a7
2313,2313.pth,0.86,0,a7
2314,2314.pth,0.12,0,a7
2315,2315.pth,0.91,0,a7
2316,2316.pth,0.49,0,a7
2317,2317.pth,0.94,0,a7
2318,2318.pth,0.23,0,a7
2319,2319.pth,0.77,0,a7
2320,2320.pth,0.49,0,a7
2321,2321.pth,0.78,0,a7
2322,2322.pth,0.32,0,a7
2323,2323.pth,0.76,0,a7
2324,2324.pth,0.31,0,a7
2325,2325.pth,0.9,0,a7
2326,2326.pth,0.14,0,a7
2327,2327.pth,0.97,0,a7
2328,2328.pth,0.0,0,a7
2329,2329.pth,0.9,0,a7
2330,2330.pth,0.35,0,a7
2331,2331.pth,0.89,0,a7
2332,2332.pth,0.33,0,a7
2333,2333.pth,0.98,0,a7
2334,2334.pth,0.56,0,a7
2335,2335.pth,0.99,0,a7
2336,2336.pth,0.39,0,a7
2337,2337.pth,0.79,0,a7
2338,2338.pth,0.31,0,a7
2339,2339.pth,0.89,0,a7
2340,2340.pth,0.31,0,a7
2341,2341.pth,0.79,0,a7
2342,2342.pth,0.13,0,a7
2343,2343.pth,0.81,0,a7
2344,2344.pth,0.51,0,a7
2345,2345.pth,1.0,0,a7
2346,2346.pth,0.48,0,a7
2347,2347.pth,0.92,0,a7
2348,2348.pth,0.39,0,a7
2349,2349.pth,0.98,0,a7
2350,2350.pth,0.36,0,a7
2351,2351.pth,0.84,0,a7
2352,2352.pth,0.33,0,a7
2353,2353.pth,1.0,0,a7
2354,2354.pth,0.56,0,a7
2355,2355.pth,0.87,0,a7
2356,2356.pth,0.11,0,a7
2357,2357.pth,0.86,0,a7
2358,2358.pth,0.43,0,a7
2359,2359.pth,0.74,0,a7
2360,2360.pth,0.48,0,a7
2361,2361.pth,0.97,0,a7
2362,2362.pth,0.38,0,a7
2363,2363.pth,0.93,0,a7
2364,2364.pth,0.49,0,a7
2365,2365.pth,0.75,0,a7
2366,2366.pth,0.31,0,a7
2367,2367.pth,0.7,0,a7
2368,2368.pth,0.58,0,a7
2369,2369.pth,0.95,0,a7
2370,2370.pth,0.1,0,a7
2371,2371.pth,0.73,0,a7
2372,2372.pth,0.1,0,a7
2373,2373.pth,0.98,0,a7
2374,2374.pth,0.4,0,a7
2375,2375.pth,0.71,0,a7
2376,2376.pth,0.31,0,a7
2377,2377.pth,0.88,0,a7
2378,2378.pth,0.37,0,a7
2379,2379.pth,0.92,0,a7
2380,2380.pth,0.11,0,a7
2381,2381.pth,0.76,0,a7
2382,2382.pth,0.57,0,a7
2383,2383.pth,0.75,0,a7
2384,2384.pth,0.62,0,a7
2385,2385.pth,0.75,0,a7
2386,2386.pth,0.63,0,a7
2387,2387.pth,0.9,0,a7
2388,2388.pth,0.52,0,a7
2389,2389.pth,0.76,0,a7
2390,2390.pth,0.66,0,a7
2391,2391.pth,0.73,0,a7
2392,2392.pth,0.64,0,a7
2393,2393.pth,0.9,0,a7
2394,2394.pth,0.02,0,a7
2395,2395.pth,0.96,0,a7
2396,2396.pth,0.42,0,a7
2397,2397.pth,0.76,0,a7
2398,2398.pth,0.65,0,a7
2399,2399.pth,0.91,0,a7
2400,2400.pth,0.19,0,a7
2401,2401.pth,0.98,0,a7
2402,2402.pth,0.23,0,a7
2403,2403.pth,0.81,0,a7
2404,2404.pth,0.02,0,a7
2405,2405.pth,0.88,0,a7
2406,2406.pth,0.45,0,a7
2407,2407.pth,0.98,0,a7
2408,2408.pth,0.12,0,a7
2409,2409.pth,0.72,0,a7
2410,2410.pth,0.55,0,a7
2411,2411.pth,0.7,0,a7
2412,2412.pth,0.17,0,a7
2413,2413.pth,0.78,0,a7
2414,2414.pth,0.11,0,a7
2415,2415.pth,0.89,0,a7
2416,2416.pth,0.25,0,a7
2417,2417.pth,0.87,0,a7
2418,2418.pth,0.57,0,a7
2419,2419.pth,0.76,0,a7
2420,2420.pth,0.13,0,a7
2421,2421.pth,0.89,0,a7
2422,2422.pth,0.17,0,a7
2423,2423.pth,0.85,0,a7
2424,2424.pth,0.41,0,a7
2425,2425.pth,0.74,0,a7
2426,2426.pth,0.32,0,a7
2427,2427.pth,0.98,0,a7
2428,2428.pth,0.13,0,a7
2429,2429.pth,0.71,0,a7
2430,2430.pth,0.39,0,a7
2431,2431.pth,0.88,0,a7
2432,2432.pth,0.56,0,a7
2433,2433.pth,0.7,0,a7
2434,2434.pth,0.65,0,a7
2435,2435.pth,0.74,0,a7
2436,2436.pth,0.45,0,a7
2437,2437.pth,0.78,0,a7
2438,2438.pth,0.68,0,a7
2439,2439.pth,0.84,0,a7
2440,2440.pth,0.61,0,a7
2441,2441.pth,0.84,0,a7
2442,2442.pth,0.4,0,a7
2443,2443.pth,0.89,0,a7
2444,2444.pth,0.05,0,a7
2445,2445.pth,0.93,0,a7
2446,2446.pth,0.6,0,a7
2447,2447.pth,0.91,0,a7
2448,2448.pth,0.0,0,a7
2449,2449.pth,0.83,0,a7
2450,2450.pth,0.05,0,a7
2451,2451.pth,0.79,0,a7
2452,2452.pth,0.22,0,a7
2453,2453.pth,0.94,0,a7
2454,2454.pth,0.03,0,a7
2455,2455.pth,0.76,0,a7
2456,2456.pth,0.34,0,a7
2457,2457.pth,0.83,0,a7
2458,2458.pth,0.07,0,a7
2459,2459.pth,0.93,0,a7
2460,2460.pth,0.14,0,a7
2461,2461.pth,0.83,0,a7
2462,2462.pth,0.4,0,a7
2463,2463.pth,0.73,0,a7
2464,2464.pth,0.55,0,a7
2465,2465.pth,0.85,0,a7
2466,2466.pth,0.35,0,a7
2467,2467.pth,0.89,0,a7
2468,2468.pth,0.55,0,a7
2469,2469.pth,0.79,0,a7
2470,2470.pth,0.13,0,a7
2471,2471.pth,0.76,0,a7
2472,2472.pth,0.55,0,a7
2473,2473.pth,0.88,0,a7
2474,2474.pth,0.04,0,a7
2475,2475.pth,0.88,0,a7
2476,2476.pth,0.15,0,a7
2477,2477.pth,0.97,0,a7
2478,2478.pth,0.66,0,a7
2479,2479.pth,0.8,0,a7
2480,2480.pth,0.51,0,a7
2481,2481.pth,0.99,0,a7
2482,2482.pth,0.25,0,a7
2483,2483.pth,0.8,0,a7
2484,2484.pth,0.38,0,a7
2485,2485.pth,0.88,0,a7
2486,2486.pth,0.06,0,a7
2487,2487.pth,0.77,0,a7
2488,2488.pth,0.05,0,a7
2489,2489.pth,0.72,0,a7
2490,2490.pth,0.0,0,a7
2491,2491.pth,0.83,0,a7
2492,2492.pth,0.07,0,a7
2493,2493.pth,0.7,0,a7
2494,2494.pth,0.01,0,a7
2495,2495.pth,0.76,0,a7
2496,2496.pth,0.59,0,a7
2497,2497.pth,0.93,0,a7
2498,2498.pth,0.16,0,a7
2499,2499.pth,0.81,0,a7
2500,2500.pth,0.05,0,a7
2501,2501.pth,0.77,0,a7
2502,2502.pth,0.23,0,a7
2503,2503.pth,0.7,0,a7
2504,2504.pth,0.42,0,a7
2505,2505.pth,0.74,0,a7
2506,2506.pth,0.68,0,a7
2507,2507.pth,0.92,0,a7
2508,2508.pth,0.13,0,a7
2509,2509.pth,0.88,0,a7
2510,2510.pth,0.48,0,a7
2511,2511.pth,0.87,0,a7
2512,2512.pth,0.65,0,a7
2513,2513.pth,0.96,0,a7
2514,2514.pth,0.32,0,a7
2515,2515.pth,0.9,0,a7
2516,2516.pth,0.59,0,a7
2517,2517.pth,0.77,0,a7
2518,2518.pth,0.62,0,a7
2519,2519.pth,0.73,0,a7
2520,2520.pth,0.3,0,a7
2521,2521.pth,0.89,0,a7
2522,2522.pth,0.42,0,a7
2523,2523.pth,0.99,0,a7
2524,2524.pth,0.11,0,a7
2525,2525.pth,0.82,0,a7
2526,2526.pth,0.08,0,a7
2527,2527.pth,0.84,0,a7
2528,2528.pth,0.23,0,a7
2529,2529.pth,0.83,0,a7
2530,2530.pth,0.26,0,a7
2531,2531.pth,0.83,0,a7
2532,2532.pth,0.64,0,a7
2533,2533.pth,0.9,0,a7
2534,2534.pth,0.27,0,a7
2535,2535.pth,0.79,0,a7
2536,2536.pth,0.23,0,a7
2537,2537.pth,0.93,0,a7
2538,2538.pth,0.21,0,a7
2539,2539.pth,0.9,0,a7
2540,2540.pth,0.59,0,a7
2541,2541.pth,0.83,0,a7
2542,2542.pth,0.61,0,a7
2543,2543.pth,0.93,0,a7
2544,2544.pth,0.0,0,a7
2545,2545.pth,0.89,0,a7
2546,2546.pth,0.28,0,a7
2547,2547.pth,0.85,0,a7
2548,2548.pth,0.09,0,a7
2549,2549.pth,0.95,0,a7
2550,2550.pth,0.19,0,a7
2551,2551.pth,0.7,0,a7
2552,2552.pth,0.64,0,a7
2553,2553.pth,0.73,0,a7
2554,2554.pth,0.5,0,a7
2555,2555.pth,0.84,0,a7
2556,2556.pth,0.46,0,a7
2557,2557.pth,0.87,0,a7
2558,2558.pth,0.2,0,a7
2559,2559.pth,0.96,0,a7
2560,2560.pth,0.44,0,a7
2561,2561.pth,0.74,0,a7
2562,2562.pth,0.24,0,a7
2563,2563.pth,1.0,0,a7
2564,2564.pth,0.38,0,a7
2565,2565.pth,0.97,0,a7
2566,2566.pth,0.58,0,a7
2567,2567.pth,0.91,0,a7
2568,2568.pth,0.4,0,a7
2569,2569.pth,0.81,0,a7
2570,2570.pth,0.53,0,a7
2571,2571.pth,0.86,0,a7
2572,2572.pth,0.64,0,a7
2573,2573.pth,0.93,0,a7
2574,2574.pth,0.35,0,a7
2575,2575.pth,0.82,0,a7
2576,2576.pth,0.3,0,a7
2577,2577.pth,0.93,0,a7
2578,2578.pth,0.58,0,a7
2579,2579.pth,0.8,0,a7
2580,2580.pth,0.48,0,a7
2581,2581.pth,0.83,0,a7
2582,2582.pth,0.65,0,a7
2583,2583.pth,0.84,0,a7
2584,2584.pth,0.22,0,a7
2585,2585.pth,0.82,0,a7
2586,2586.pth,0.11,0,a7
2587,2587.pth,0.72,0,a7
2588,2588.pth,0.35,0,a7
2589,2589.pth,0.83,0,a7
2590,2590.pth,0.28,0,a7
2591,2591.pth,0.83,0,a7
2592,2592.pth,0.24,0,a7
2593,2593.pth,0.81,0,a7
2594,2594.pth,0.45,0,a7
2595,2595.pth,0.82,0,a7
2596,2596.pth,0.17,0,a7
2597,2597.pth,0.87,0,a7
2598,2598.pth,0.07,0,a7
2599,2599.pth,0.94,0,a7
2600,2600.pth,0.42,0,a7
2601,2601.pth,0.74,0,a7
2602,2602.pth,0.57,0,a7
2603,2603.pth,0.78,0,a7
2604,2604.pth,0.4,0,a7
2605,2605.pth,0.8,0,a7
2606,2606.pth,0.55,0,a7
2607,2607.pth,0.77,0,a7
2608,2608.pth,0.51,0,a7
2609,2609.pth,0.89,0,a7
2610,2610.pth,0.61,0,a7
2611,2611.pth,0.85,0,a7
2612,2612.pth,0.24,0,a7
2613,2613.pth,0.87,0,a7
2614,2614.pth,0.27,0,a7
2615,2615.pth,0.76,0,a7
2616,2616.pth,0.68,0,a7
2617,2617.pth,1.0,0,a7
2618,2618.pth,0.02,0,a7
2619,2619.pth,0.87,0,a7
2620,2620.pth,0.14,0,a7
2621,2621.pth,0.75,0,a7
2622,2622.pth,0.04,0,a7
2623,2623.pth,0.92,0,a7
2624,2624.pth,0.29,0,a7
2625,2625.pth,0.96,0,a7
2626,2626.pth,0.5,0,a7
2627,2627.pth,0.74,0,a7
2628,2628.pth,0.07,0,a7
2629,2629.pth,0.91,0,a7
2630,2630.pth,0.4,0,a7
2631,2631.pth,0.74,0,a7
2632,2632.pth,0.48,0,a7
2633,2633.pth,0.83,0,a7
2634,2634.pth,0.26,0,a7
2635,2635.pth,0.77,0,a7
2636,2636.pth,0.27,0,a7
2637,2637.pth,0.93,0,a7
2638,2638.pth,0.44,0,a7
2639,2639.pth,0.84,0,a7
2640,2640.pth,0.47,0,a7
2641,2641.pth,0.93,0,a7
2642,2642.pth,0.37,0,a7
2643,2643.pth,0.98,0,a7
2644,2644.pth,0.14,0,a7
2645,2645.pth,0.94,0,a7
2646,2646.pth,0.3,0,a7
2647,2647.pth,0.93,0,a7
2648,2648.pth,0.32,0,a7
2649,2649.pth,0.71,0,a7
2650,2650.pth,0.16,0,a7
2651,2651.pth,0.76,0,a7
2652,2652.pth,0.15,0,a7
2653,2653.pth,0.98,0,a7
2654,2654.pth,0.52,0,a7
2655,2655.pth,0.83,0,a7
2656,2656.pth,0.04,0,a7
2657,2657.pth,0.98,0,a7
2658,2658.pth,0.57,0,a7
2659,2659.pth,0.83,0,a7
2660,2660.pth,0.19,0,a7
2661,2661.pth,0.91,0,a7
2662,2662.pth,0.38,0,a7
2663,2663.pth,0.78,0,a7
2664,2664.pth,0.1,0,a7
2665,2665.pth,0.95,0,a7
2666,2666.pth,0.41,0,a7
2667,2667.pth,0.94,0,a7
2668,2668.pth,0.66,0,a7
2669,2669.pth,0.83,0,a7
2670,2670.pth,0.04,0,a7
2671,2671.pth,0.7,0,a7
2672,2672.pth,0.42,0,a7
2673,2673.pth,0.79,0,a7
2674,2674.pth,0.36,0,a7
2675,2675.pth,0.84,0,a7
2676,2676.pth,0.53,0,a7
2677,2677.pth,0.74,0,a7
2678,2678.pth,0.05,0,a7
2679,2679.pth,0.78,0,a7
2680,2680.pth,0.28,0,a7
2681,2681.pth,0.83,0,a7
2682,2682.pth,0.15,0,a7
2683,2683.pth,0.89,0,a7
2684,2684.pth,0.57,0,a7
2685,2685.pth,0.89,0,a7
2686,2686.pth,0.4,0,a7
2687,2687.pth,0.95,0,a7
2688,2688.pth,0.26,0,a7
2689,2689.pth,0.85,0,a7
2690,2690.pth,0.38,0,a7
2691,2691.pth,0.92,0,a7
2692,2692.pth,0.24,0,a7
2693,2693.pth,0.77,0,a7
2694,2694.pth,0.68,0,a7
2695,2695.pth,0.92,0,a7
2696,2696.pth,0.46,0,a7
2697,2697.pth,0.86,0,a7
2698,2698.pth,0.5,0,a7
2699,2699.pth,0.71,0,a7
2700,2700.pth,0.14,0,a7
2701,2701.pth,0.92,0,a7
2702,2702.pth,0.5,0,a7
2703,2703.pth,0.92,0,a7
2704,2704.pth,0.09,0,a7
2705,2705.pth,0.83,0,a7
2706,2706.pth,0.61,0,a7
2707,2707.pth,0.98,0,a7
2708,2708.pth,0.16,0,a7
2709,2709.pth,0.72,0,a7
2710,2710.pth,0.46,0,a7
2711,2711.pth,0.89,0,a7
2712,2712.pth,0.5,0,a7
2713,2713.pth,0.92,0,a7
2714,2714.pth,0.41,0,a7
2715,2715.pth,0.76,0,a7
2716,2716.pth,0.52,0,a7
2717,2717.pth,0.73,0,a7
2718,2718.pth,0.42,0,a7
2719,2719.pth,0.77,0,a7
2720,2720.pth,0.4,0,a7
2721,2721.pth,0.82,0,a7
2722,2722.pth,0.53,0,a7
2723,2723.pth,0.85,0,a7
2724,2724.pth,0.4,0,a7
2725,2725.pth,0.92,0,a7
2726,2726.pth,0.19,0,a7
2727,2727.pth,0.89,0,a7
2728,2728.pth,0.29,0,a7
2729,2729.pth,0.8,0,a7
2730,2730.pth,0.11,0,a7
2731,2731.pth,0.89,0,a7
2732,2732.pth,0.5,0,a7
2733,2733.pth,0.93,0,a7
2734,2734.pth,0.03,0,a7
2735,2735.pth,0.86,0,a7
2736,2736.pth,0.04,0,a7
2737,2737.pth,0.77,0,a7
2738,2738.pth,0.2,0,a7
2739,2739.pth,0.9,0,a7
2740,2740.pth,0.16,0,a7
2741,2741.pth,0.72,0,a7
2742,2742.pth,0.57,0,a7
2743,2743.pth,0.86,0,a7
2744,2744.pth,0.15,0,a7
2745,2745.pth,0.83,0,a7
2746,2746.pth,0.05,0,a7
2747,2747.pth,0.76,0,a7
2748,2748.pth,0.12,0,a7
2749,2749.pth,0.91,0,a7
2750,2750.pth,0.59,0,a7
2751,2751.pth,0.71,0,a7
2752,2752.pth,0.01,0,a7
2753,2753.pth,0.97,0,a7
2754,2754.pth,0.42,0,a7
2755,2755.pth,0.96,0,a7
2756,2756.pth,0.1,0,a7
2757,2757.pth,0.87,0,a7
2758,2758.pth,0.32,0,a7
2759,2759.pth,0.82,0,a7
2760,2760.pth,0.46,0,a7
2761,2761.pth,0.82,0,a7
2762,2762.pth,0.64,0,a7
2763,2763.pth,0.92,0,a7
2764,2764.pth,0.41,0,a7
2765,2765.pth,0.72,0,a7
2766,2766.pth,0.63,0,a7
2767,2767.pth,0.79,0,a7
2768,2768.pth,0.26,0,a7
2769,2769.pth,0.84,0,a7
2770,2770.pth,0.67,0,a7
2771,2771.pth,0.89,0,a7
2772,2772.pth,0.11,0,a7
2773,2773.pth,0.78,0,a7
2774,2774.pth,0.13,0,a7
2775,2775.pth,0.71,0,a7
2776,2776.pth,0.25,0,a7
2777,2777.pth,0.96,0,a7
2778,2778.pth,0.31,0,a7
2779,2779.pth,0.92,0,a7
2780,2780.pth,0.14,0,a7
2781,2781.pth,0.76,0,a7
2782,2782.pth,0.18,0,a7
2783,2783.pth,0.99,0,a7
2784,2784.pth,0.08,0,a7
2785,2785.pth,0.95,0,a7
2786,2786.pth,0.03,0,a7
2787,2787.pth,0.81,0,a7
2788,2788.pth,0.42,0,a7
2789,2789.pth,0.99,0,a7
2790,2790.pth,0.02,0,a7
2791,2791.pth,0.92,0,a7
2792,2792.pth,0.57,0,a7
2793,2793.pth,0.78,0,a7
2794,2794.pth,0.65,0,a7
2795,2795.pth,0.76,0,a7
2796,2796.pth,0.04,0,a7
2797,2797.pth,0.72,0,a7
2798,2798.pth,0.55,0,a7
2799,2799.pth,0.83,0,a7
2800,2800.pth,0.03,0,a7
2801,2801.pth,0.98,0,a7
2802,2802.pth,0.03,0,a7
2803,2803.pth,0.96,0,a7
2804,2804.pth,0.28,0,a7
2805,2805.pth,0.92,0,a7
2806,2806.pth,0.16,0,a7
2807,2807.pth,0.94,0,a7
2808,2808.pth,0.06,0,a7
2809,2809.pth,0.76,0,a7
2810,2810.pth,0.49,0,a7
2811,2811.pth,0.72,0,a7
2812,2812.pth,0.64,0,a7
2813,2813.pth,0.82,0,a7
2814,2814.pth,0.22,0,a7
2815,2815.pth,0.91,0,a7
2816,2816.pth,0.21,0,a7
2817,2817.pth,0.89,0,a7
2818,2818.pth,0.37,0,a7
2819,2819.pth,0.93,0,a7
2820,2820.pth,0.16,0,a7
2821,2821.pth,0.72,0,a7
2822,2822.pth,0.63,0,a7
2823,2823.pth,0.76,0,a7
2824,2824.pth,0.51,0,a7
2825,2825.pth,0.99,0,a7
2826,2826.pth,0.08,0,a7
2827,2827.pth,0.98,0,a7
2828,2828.pth,0.65,0,a7
2829,2829.pth,0.87,0,a7
2830,2830.pth,0.43,0,a7
2831,2831.pth,0.74,0,a7
2832,2832.pth,0.27,0,a7
2833,2833.pth,0.75,0,a7
2834,2834.pth,0.16,0,a7
2835,2835.pth,0.98,0,a7
2836,2836.pth,0.11,0,a7
2837,2837.pth,0.77,0,a7
2838,2838.pth,0.07,0,a7
2839,2839.pth,0.74,0,a7
2840,2840.pth,0.14,0,a7
2841,2841.pth,0.89,0,a7
2842,2842.pth,0.43,0,a7
2843,2843.pth,0.85,0,a7
2844,2844.pth,0.0,0,a7
2845,2845.pth,0.97,0,a7
2846,2846.pth,0.65,0,a7
2847,2847.pth,0.74,0,a7
2848,2848.pth,0.26,0,a7
2849,2849.pth,0.96,0,a7
2850,2850.pth,0.23,0,a7
2851,2851.pth,0.75,0,a7
2852,2852.pth,0.47,0,a7
2853,2853.pth,0.86,0,a7
2854,2854.pth,0.46,0,a7
2855,2855.pth,1.0,0,a7
2856,2856.pth,0.54,0,a7
2857,2857.pth,1.0,0,a7
2858,2858.pth,0.59,0,a7
2859,2859.pth,0.7,0,a7
2860,2860.pth,0.17,0,a7
2861,2861.pth,0.87,0,a7
2862,2862.pth,0.0,0,a7
2863,2863.pth,0.96,0,a7
2864,2864.pth,0.49,0,a7
2865,2865.pth,0.96,0,a7
2866,2866.pth,0.07,0,a7
2867,2867.pth,0.97,0,a7
2868,2868.pth,0.67,0,a7
2869,2869.pth,0.76,0,a7
2870,2870.pth,0.29,0,a7
2871,2871.pth,0.93,0,a7
2872,2872.pth,0.0,0,a7
2873,2873.pth,0.95,0,a7
2874,2874.pth,0.5,0,a7
2875,2875.pth,0.7,0,a7
2876,2876.pth,0.05,0,a7
2877,2877.pth,0.86,0,a7
2878,2878.pth,0.12,0,a7
2879,2879.pth,0.96,0,a7
2880,2880.pth,0.48,0,a7
2881,2881.pth,0.82,0,a7
2882,2882.pth,0.19,0,a7
2883,2883.pth,0.7,0,a7
2884,2884.pth,0.48,0,a7
2885,2885.pth,0.8,0,a7
2886,2886.pth,0.46,0,a7
2887,2887.pth,0.78,0,a7
2888,2888.pth,0.47,0,a7
2889,2889.pth,0.91,0,a7
2890,2890.pth,0.39,0,a7
2891,2891.pth,0.79,0,a7
2892,2892.pth,0.37,0,a7
2893,2893.pth,0.81,0,a7
2894,2894.pth,0.56,0,a7
2895,2895.pth,0.73,0,a7
2896,2896.pth,0.53,0,a7
2897,2897.pth,0.77,0,a7
2898,2898.pth,0.53,0,a7
2899,2899.pth,0.99,0,a7
2900,2900.pth,0.5,0,a7
2901,2901.pth,0.78,0,a7
2902,2902.pth,0.51,0,a7
2903,2903.pth,0.83,0,a7
2904,2904.pth,0.22,0,a7
2905,2905.pth,0.83,0,a7
2906,2906.pth,0.4,0,a7
2907,2907.pth,0.99,0,a7
2908,2908.pth,0.32,0,a7
2909,2909.pth,0.8,0,a7
2910,2910.pth,0.41,0,a7
2911,2911.pth,0.72,0,a7
2912,2912.pth,0.38,0,a7
2913,2913.pth,0.77,0,a7
2914,2914.pth,0.49,0,a7
2915,2915.pth,0.98,0,a7
2916,2916.pth,0.34,0,a7
2917,2917.pth,0.82,0,a7
2918,2918.pth,0.33,0,a7
2919,2919.pth,0.82,0,a7
2920,2920.pth,0.33,0,a7
2921,2921.pth,1.0,0,a7
2922,2922.pth,0.63,0,a7
2923,2923.pth,0.94,0,a7
2924,2924.pth,0.13,0,a7
2925,2925.pth,0.79,0,a7
2926,2926.pth,0.68,0,a7
2927,2927.pth,1.0,0,a7
2928,2928.pth,0.5,0,a7
2929,2929.pth,0.97,0,a7
2930,2930.pth,0.48,0,a7
2931,2931.pth,0.86,0,a7
2932,2932.pth,0.29,0,a7
2933,2933.pth,0.99,0,a7
2934,2934.pth,0.26,0,a7
2935,2935.pth,0.77,0,a7
2936,2936.pth,0.63,0,a7
2937,2937.pth,0.82,0,a7
2938,2938.pth,0.22,0,a7
2939,2939.pth,0.94,0,a7
2940,2940.pth,0.66,0,a7
2941,2941.pth,0.85,0,a7
2942,2942.pth,0.13,0,a7
2943,2943.pth,0.85,0,a7
2944,2944.pth,0.27,0,a7
2945,2945.pth,0.72,0,a7
2946,2946.pth,0.66,0,a7
2947,2947.pth,0.99,0,a7
2948,2948.pth,0.21,0,a7
2949,2949.pth,0.91,0,a7
2950,2950.pth,0.64,0,a7
2951,2951.pth,0.83,0,a7
2952,2952.pth,0.44,0,a7
2953,2953.pth,0.79,0,a7
2954,2954.pth,0.63,0,a7
2955,2955.pth,0.72,0,a7
2956,2956.pth,0.66,0,a7
2957,2957.pth,0.73,0,a7
2958,2958.pth,0.67,0,a7
2959,2959.pth,0.88,0,a7
2960,2960.pth,0.33,0,a7
2961,2961.pth,0.71,0,a7
2962,2962.pth,0.22,0,a7
2963,2963.pth,0.91,0,a7
2964,2964.pth,0.69,0,a7
2965,2965.pth,0.8,0,a7
2966,2966.pth,0.12,0,a7
2967,2967.pth,0.9,0,a7
2968,2968.pth,0.19,0,a7
2969,2969.pth,0.98,0,a7
2970,2970.pth,0.0,0,a7
2971,2971.pth,0.71,0,a7
2972,2972.pth,0.59,0,a7
2973,2973.pth,0.93,0,a7
2974,2974.pth,0.43,0,a7
2975,2975.pth,0.83,0,a7
2976,2976.pth,0.21,0,a7
2977,2977.pth,0.76,0,a7
2978,2978.pth,0.66,0,a7
2979,2979.pth,0.94,0,a7
2980,2980.pth,0.62,0,a7
2981,2981.pth,0.87,0,a7
2982,2982.pth,0.3,0,a7
2983,2983.pth,0.74,0,a7
2984,2984.pth,0.61,0,a7
2985,2985.pth,0.85,0,a7
2986,2986.pth,0.63,0,a7
2987,2987.pth,0.96,0,a7
2988,2988.pth,0.55,0,a7
2989,2989.pth,0.82,0,a7
2990,2990.pth,0.3,0,a7
2991,2991.pth,0.9,0,a7
2992,2992.pth,0.1,0,a7
2993,2993.pth,1.0,0,a7
2994,2994.pth,0.35,0,a7
2995,2995.pth,0.75,0,a7
2996,2996.pth,0.69,0,a7
2997,2997.pth,0.98,0,a7
2998,2998.pth,0.27,0,a7
2999,2999.pth,0.79,0,a7
3000,3000.pth,0.2,0,a7
3001,3001.pth,0.85,0,a7
3002,3002.pth,0.56,0,a7
3003,3003.pth,0.97,0,a7
3004,3004.pth,0.16,0,a7
3005,3005.pth,0.7,0,a7
3006,3006.pth,0.18,0,a7
3007,3007.pth,0.9,0,a7
3008,3008.pth,0.01,0,a7
3009,3009.pth,0.85,0,a7
3010,3010.pth,0.64,0,a7
3011,3011.pth,0.94,0,a7
3012,3012.pth,0.04,0,a7
3013,3013.pth,0.97,0,a7
3014,3014.pth,0.13,0,a7
3015,3015.pth,0.89,0,a7
3016,3016.pth,0.42,0,a7
3017,3017.pth,0.9,0,a7
3018,3018.pth,0.2,0,a7
3019,3019.pth,0.91,0,a7
3020,3020.pth,0.4,0,a7
3021,3021.pth,0.83,0,a7
3022,3022.pth,0.19,0,a7
3023,3023.pth,0.93,0,a7
3024,3024.pth,0.39,0,a7
3025,3025.pth,0.96,0,a7
3026,3026.pth,0.38,0,a7
3027,3027.pth,0.86,0,a7
3028,3028.pth,0.63,0,a7
3029,3029.pth,0.97,0,a7
3030,3030.pth,0.42,0,a7
3031,3031.pth,0.78,0,a7
3032,3032.pth,0.61,0,a7
3033,3033.pth,0.93,0,a7
3034,3034.pth,0.33,0,a7
3035,3035.pth,0.93,0,a7
3036,3036.pth,0.32,0,a7
3037,3037.pth,0.75,0,a7
3038,3038.pth,0.17,0,a7
3039,3039.pth,0.91,0,a7
3040,3040.pth,0.26,0,a7
3041,3041.pth,0.93,0,a7
3042,3042.pth,0.2,0,a7
3043,3043.pth,0.82,0,a7
3044,3044.pth,0.57,0,a7
3045,3045.pth,0.95,0,a7
3046,3046.pth,0.34,0,a7
3047,3047.pth,0.89,0,a7
3048,3048.pth,0.41,0,a7
3049,3049.pth,0.75,0,a7
3050,3050.pth,0.45,0,a7
3051,3051.pth,0.8,0,a7
3052,3052.pth,0.49,0,a7
3053,3053.pth,0.85,0,a7
3054,3054.pth,0.17,0,a7
3055,3055.pth,0.77,0,a7
3056,3056.pth,0.08,0,a7
3057,3057.pth,0.98,0,a7
3058,3058.pth,0.55,0,a7
3059,3059.pth,1.0,0,a7
3060,3060.pth,0.28,0,a7
3061,3061.pth,0.99,0,a7
3062,3062.pth,0.31,0,a7
3063,3063.pth,0.99,0,a7
3064,3064.pth,0.45,0,a7
